,prop_id,year,date,week,team1,team2,spread,team1_pick_pct,team2_pick_pct,score1,score2,winner,spread_winner
0,19d15ae0-138a-11ef-95b6-af3fb566f45b,2024,2024-09-06 00:40:00,1,Ravens,Chiefs,-2.5,0.42802802048809885,0.5719719795119012,20.0,27.0,Chiefs,Chiefs
1,19d1f720-138a-11ef-95b6-af3fb566f45b,2024,2024-09-07 00:18:00,1,Packers,Eagles,-1.5,0.32903282301259507,0.6709671769874049,29.0,34.0,Eagles,Eagles
2,19d30890-138a-11ef-95b6-af3fb566f45b,2024,2024-09-08 17:00:00,1,Titans,Bears,-4.5,0.43785736416640847,0.5621426358335915,17.0,24.0,Bears,Bears
3,19d24540-138a-11ef-95b6-af3fb566f45b,2024,2024-09-08 17:00:00,1,Steelers,Falcons,-2.5,0.34941257483346916,0.6505874251665308,18.0,10.0,Steelers,Steelers
4,19d29360-138a-11ef-95b6-af3fb566f45b,2024,2024-09-08 17:00:00,1,Cardinals,Bills,-6.5,0.3007730345298135,0.6992269654701865,28.0,34.0,Bills,Cardinals
5,19d37dc0-138a-11ef-95b6-af3fb566f45b,2024,2024-09-08 17:00:00,1,Texans,Colts,1.5,0.7825912442169158,0.21740875578308416,29.0,27.0,Texans,Texans
6,19d3cbe0-138a-11ef-95b6-af3fb566f45b,2024,2024-09-08 17:03:00,1,Jaguars,Dolphins,-3.5,0.22953996181027742,0.7704600381897226,17.0,20.0,Dolphins,Jaguars
7,19d32fa0-138a-11ef-95b6-af3fb566f45b,2024,2024-09-08 17:04:00,1,Patriots,Bengals,-8.5,0.21747304824206234,0.7825269517579376,16.0,10.0,Patriots,Patriots
8,19d41a00-138a-11ef-95b6-af3fb566f45b,2024,2024-09-08 17:04:00,1,Panthers,Saints,-4.5,0.27621405795874604,0.723785942041254,10.0,47.0,Saints,Saints
9,19d46820-138a-11ef-95b6-af3fb566f45b,2024,2024-09-08 17:04:00,1,Vikings,Giants,1.5,0.6267254452477518,0.3732745547522483,28.0,6.0,Vikings,Vikings
10,19d52b70-138a-11ef-95b6-af3fb566f45b,2024,2024-09-08 20:05:00,1,Broncos,Seahawks,-4.5,0.2893114873782046,0.7106885126217954,20.0,26.0,Seahawks,Seahawks
11,19d4b640-138a-11ef-95b6-af3fb566f45b,2024,2024-09-08 20:06:00,1,Raiders,Chargers,-3.5,0.36034650997901,0.6396534900209899,10.0,22.0,Chargers,Chargers
12,19d5a0a0-138a-11ef-95b6-af3fb566f45b,2024,2024-09-08 20:25:00,1,Commanders,Buccaneers,-4.5,0.3470234376645164,0.6529765623354836,20.0,37.0,Buccaneers,Buccaneers
13,19d55280-138a-11ef-95b6-af3fb566f45b,2024,2024-09-08 20:26:00,1,Cowboys,Browns,1.5,0.590369980711906,0.409630019288094,33.0,17.0,Cowboys,Cowboys
14,19d5eec0-138a-11ef-95b6-af3fb566f45b,2024,2024-09-09 00:20:00,1,Rams,Lions,-3.5,0.2552714002069409,0.744728599793059,20.0,26.0,Lions,Lions
15,19d63ce0-138a-11ef-95b6-af3fb566f45b,2024,2024-09-10 00:15:00,1,Jets,49ers,-6.5,0.45048126861020704,0.5495187313897929,19.0,32.0,49ers,49ers
16,1a1d7f10-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-13 00:16:00,2,Bills,Dolphins,-1.5,0.4777310850491446,0.5222689149508554,31.0,10.0,Bills,Bills
17,1a1e9080-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-15 17:00:00,2,Buccaneers,Lions,-6.5,0.5315388087714713,0.46846119122852864,20.0,16.0,Buccaneers,Buccaneers
18,1a201720-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-15 17:00:00,2,Chargers,Panthers,6.5,0.8611952520650973,0.13880474793490272,26.0,3.0,Chargers,Chargers
19,1a1e1b50-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-15 17:00:00,2,Saints,Cowboys,-6.5,0.2973490089420545,0.7026509910579455,44.0,19.0,Saints,Saints
20,1a1f53d0-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-15 17:00:00,2,49ers,Vikings,4.5,0.8481007635041826,0.15189923649581738,17.0,23.0,Vikings,Vikings
21,1a1edea0-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-15 17:03:00,2,Colts,Packers,3.5,0.70032023335817,0.2996797666418301,10.0,16.0,Packers,Packers
22,1a1f2cc0-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-15 17:03:00,2,Jets,Titans,3.5,0.7515666894067998,0.24843331059320017,24.0,17.0,Jets,Jets
23,1a206540-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-15 17:03:00,2,Browns,Jaguars,-3.5,0.3297850334940411,0.6702149665059589,18.0,13.0,Browns,Browns
24,1a1fa1f0-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-15 17:03:00,2,Seahawks,Patriots,3.5,0.5900722738463983,0.4099277261536018,23.0,20.0,Seahawks,Patriots
25,1a1fc900-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-15 17:04:00,2,Giants,Commanders,-2.5,0.20151792100452992,0.7984820789954701,18.0,21.0,Commanders,Commanders
26,1a20da70-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-15 18:16:00,2,Raiders,Ravens,-9.5,0.2759553924651155,0.7240446075348844,26.0,23.0,Raiders,Raiders
27,1a212890-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-15 20:06:00,2,Rams,Cardinals,-0.5,0.726682361863831,0.273317638136169,10.0,41.0,Cardinals,Cardinals
28,1a21c4d0-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-15 20:26:00,2,Bengals,Chiefs,-5.5,0.20469421958006578,0.7953057804199343,25.0,26.0,Chiefs,Bengals
29,1a2176b0-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-15 20:27:00,2,Steelers,Broncos,2.5,0.7611467233652395,0.23885327663476055,13.0,6.0,Steelers,Steelers
30,1a21ebe0-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-16 00:23:00,2,Bears,Texans,-6.5,0.25829712198501165,0.7417028780149884,13.0,19.0,Texans,Bears
31,1a223a00-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-17 00:16:00,2,Falcons,Eagles,-6.5,0.21040920057152226,0.7895907994284778,22.0,21.0,Falcons,Falcons
32,1a5494a0-138a-11ef-99c0-11d412694269,2024,2024-09-20 00:15:00,3,Patriots,Jets,-6.5,0.6032636082937064,0.3967363917062936,3.0,24.0,Jets,Jets
33,1a55cd20-138a-11ef-99c0-11d412694269,2024,2024-09-22 17:00:00,3,Packers,Titans,-2.5,0.6989639198366181,0.30103608016338185,30.0,14.0,Packers,Packers
34,1a566960-138a-11ef-99c0-11d412694269,2024,2024-09-22 17:00:00,3,Texans,Vikings,2.5,0.5994578278187548,0.40054217218124516,7.0,34.0,Vikings,Vikings
35,1a561b40-138a-11ef-99c0-11d412694269,2024,2024-09-22 17:02:00,3,Bears,Colts,-1.5,0.3686454411728041,0.6313545588271959,16.0,21.0,Colts,Colts
36,1a5705a0-138a-11ef-99c0-11d412694269,2024,2024-09-22 17:03:00,3,Chargers,Steelers,-2.5,0.599037316478044,0.400962683521956,10.0,20.0,Steelers,Steelers
37,1a572cb0-138a-11ef-99c0-11d412694269,2024,2024-09-22 17:03:00,3,Broncos,Buccaneers,-6.5,0.14696962122348314,0.8530303787765169,26.0,7.0,Broncos,Broncos
38,1a557f00-138a-11ef-99c0-11d412694269,2024,2024-09-22 17:03:00,3,Giants,Browns,-6.5,0.3254076819127681,0.6745923180872319,21.0,15.0,Giants,Giants
39,1a569070-138a-11ef-99c0-11d412694269,2024,2024-09-22 19:13:00,3,Eagles,Saints,-2.5,0.3772387345794548,0.6227612654205452,15.0,12.0,Eagles,Eagles
40,1a577ad0-138a-11ef-99c0-11d412694269,2024,2024-09-22 20:05:00,3,Panthers,Raiders,-5.5,0.18152708136821724,0.8184729186317827,36.0,22.0,Panthers,Panthers
41,1a57c8f0-138a-11ef-99c0-11d412694269,2024,2024-09-22 20:05:00,3,Dolphins,Seahawks,-5.5,0.2958155705475767,0.7041844294524233,3.0,24.0,Seahawks,Seahawks
42,1a58b350-138a-11ef-99c0-11d412694269,2024,2024-09-22 20:25:00,3,Lions,Cardinals,2.5,0.5936985053616528,0.4063014946383472,20.0,13.0,Lions,Lions
43,1a586530-138a-11ef-99c0-11d412694269,2024,2024-09-22 20:25:00,3,49ers,Rams,6.5,0.7132923861397613,0.28670761386023874,24.0,27.0,Rams,Rams
44,1a581710-138a-11ef-99c0-11d412694269,2024,2024-09-22 20:26:00,3,Ravens,Cowboys,0.5,0.6337548276118724,0.3662451723881276,28.0,25.0,Ravens,Ravens
45,1a58da60-138a-11ef-99c0-11d412694269,2024,2024-09-23 00:22:00,3,Chiefs,Falcons,3.5,0.7466077913502807,0.2533922086497194,22.0,17.0,Chiefs,Chiefs
46,1a592880-138a-11ef-99c0-11d412694269,2024,2024-09-23 23:30:00,3,Jaguars,Bills,-5.5,0.2096827061754294,0.7903172938245706,10.0,47.0,Bills,Bills
47,1a599db0-138a-11ef-99c0-11d412694269,2024,2024-09-24 00:15:00,3,Commanders,Bengals,-7.5,0.4479481570690065,0.5520518429309935,38.0,33.0,Commanders,Commanders
48,1a8bd140-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-27 00:16:00,4,Cowboys,Giants,4.5,0.7309488982211108,0.26905110177888925,20.0,15.0,Cowboys,Cowboys
49,1a8c9490-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-29 17:02:00,4,Saints,Falcons,-1.5,0.5933172503198001,0.40668274968019985,24.0,26.0,Falcons,Falcons
50,1a8d7ef0-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-29 17:02:00,4,Steelers,Colts,1.5,0.751024872536861,0.24897512746313905,24.0,27.0,Colts,Colts
51,1a8e1b30-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-29 17:03:00,4,Eagles,Buccaneers,2.5,0.5377015259936201,0.46229847400637986,16.0,33.0,Buccaneers,Buccaneers
52,1a8dcd10-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-29 17:03:00,4,Broncos,Jets,-6.5,0.25274119501459963,0.7472588049854004,10.0,9.0,Broncos,Broncos
53,1a8eb770-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-29 17:03:00,4,Jaguars,Texans,-6.5,0.26158082839828034,0.7384191716017197,20.0,24.0,Texans,Jaguars
54,1a8e6950-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-29 17:03:00,4,Bengals,Panthers,4.5,0.6954038853041647,0.3045961146958352,34.0,24.0,Bengals,Bengals
55,1a8ce2b0-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-29 17:03:00,4,Rams,Bears,-2.5,0.6851628986503912,0.31483710134960885,18.0,24.0,Bears,Bears
56,1a8d30d0-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-29 17:03:00,4,Vikings,Packers,-2.5,0.6441074515943126,0.3558925484056874,31.0,29.0,Vikings,Vikings
57,1a8f7ac0-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-29 20:05:00,4,Patriots,49ers,-9.5,0.3788646318153377,0.6211353681846623,13.0,30.0,49ers,49ers
58,1a8f0590-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-29 20:06:00,4,Commanders,Cardinals,-3.5,0.5590485738032199,0.44095142619678,42.0,14.0,Commanders,Commanders
59,1a901700-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-29 20:32:00,4,Chiefs,Chargers,7.5,0.49974285126517176,0.5002571487348282,17.0,10.0,Chiefs,Chargers
60,1a8fc8e0-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-29 20:32:00,4,Browns,Raiders,-1.5,0.4702590602531472,0.5297409397468528,16.0,20.0,Raiders,Raiders
61,1a906520-138a-11ef-9421-4b5b2bd2cbe8,2024,2024-09-30 00:23:00,4,Bills,Ravens,-2.5,0.6582600746683069,0.341739925331693,10.0,35.0,Ravens,Ravens
